bank,comments,sentiment,date,source
Banco BCR,El proceso de solicitud de préstamo fue rápido Neque recusandae perspiciatis.,1,2023-01-06,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Cumque aut asperiores architecto eveniet voluptatum.,0,2023-01-07,Facebook
Banco Popular,El proceso de solicitud de préstamo fue rápido Culpa atque velit illum.,1,2023-01-07,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Quas non quas tempora blanditiis praesentium libero.,1,2023-01-07,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Dolore a reiciendis.,0,2023-01-08,Facebook
Banco Popular,Los cargos de la cuenta son demasiado altos Esse ipsam doloremque velit esse eaque doloribus quam.,0,2023-01-08,Instagram
Banco BCR,Excelente servicio al cliente A voluptas aliquam error.,1,2023-01-08,Twitter
Banco BCR,Tengo problemas para acceder a mi cuenta Magnam impedit mollitia ab ducimus doloremque.,0,2023-01-09,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Sint eos in totam.,1,2023-01-09,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Sapiente nemo eos nisi debitis amet veritatis.,0,2023-01-09,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Saepe libero harum quis nulla repellat.,0,2023-01-10,Facebook
Banco Popular,La aplicación móvil es fácil de usar Quisquam necessitatibus eligendi doloribus qui reprehenderit ullam.,1,2023-01-10,Facebook
Banco Nacional,Excelente servicio al cliente Laborum dolorum voluptatibus magnam.,1,2023-01-10,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Velit quae accusamus ad magnam.,0,2023-01-11,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Est debitis harum inventore excepturi vel magni.,0,2023-01-11,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Maxime magni velit pariatur.,0,2023-01-11,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Facere nemo a nam impedit magni.,1,2023-01-12,Facebook
Banco Nacional,Excelente servicio al cliente Nam earum accusantium quaerat.,1,2023-01-12,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Et sapiente consequatur doloribus totam maxime sit.,1,2023-01-12,Instagram
Banco BCR,Tengo problemas para acceder a mi cuenta Numquam a nemo quas alias sit beatae illo.,0,2023-01-13,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Quod autem aliquid aut consequatur vero.,0,2023-01-13,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido At tenetur fuga.,1,2023-01-13,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Debitis occaecati aliquid vero ipsum est adipisci.,0,2023-01-14,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Reprehenderit adipisci vel tempore molestias autem.,1,2023-01-14,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Necessitatibus hic voluptas dicta aperiam natus amet.,1,2023-01-14,Facebook
Banco BCR,La aplicación móvil es fácil de usar Maxime totam qui velit atque voluptatibus.,1,2023-01-15,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido Totam cum consectetur.,1,2023-01-15,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Ratione incidunt porro labore nesciunt voluptatibus.,0,2023-01-15,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Voluptas officiis voluptatum quo explicabo.,0,2023-01-16,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Dolorem libero beatae explicabo fuga similique.,0,2023-01-16,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Minus nisi nesciunt.,0,2023-01-16,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Tempore culpa porro saepe incidunt quisquam.,0,2023-01-17,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Recusandae similique aliquid in accusamus.,0,2023-01-17,Facebook
Banco Popular,Excelente servicio al cliente Soluta repellat id ad vero.,1,2023-01-17,Facebook
Banco Popular,Excelente servicio al cliente Consequatur vero quam culpa illo officiis dolores.,1,2023-01-18,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Cupiditate perferendis pariatur sed accusamus quam porro suscipit.,0,2023-01-18,Instagram
Banco Nacional,Excelente servicio al cliente Minima adipisci debitis error sequi tempora.,1,2023-01-18,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Commodi suscipit explicabo temporibus a vel dicta.,1,2023-01-19,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Voluptas aliquam nostrum officia aliquam ipsum alias.,1,2023-01-19,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Consequuntur quam expedita velit tempora perferendis provident.,0,2023-01-19,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Dolorem temporibus illo autem ipsa error.,0,2023-01-20,Twitter
Banco BCR,La aplicación móvil es fácil de usar Explicabo recusandae autem sint commodi repellendus.,1,2023-01-20,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Distinctio quas vel sint incidunt corrupti.,0,2023-01-20,Twitter
Banco Popular,Excelente servicio al cliente Facilis veniam eaque quidem.,1,2023-01-21,Facebook
Banco BCR,Excelente servicio al cliente Odit harum est ex ipsam iusto.,1,2023-01-21,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Aliquid eius rem doloribus sint numquam.,1,2023-01-21,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Corporis et vitae corrupti voluptatem.,0,2023-01-22,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Praesentium nulla voluptatibus possimus recusandae atque natus molestias.,0,2023-01-22,Instagram
Banco Nacional,Excelente servicio al cliente Impedit corrupti sint non laborum omnis.,1,2023-01-22,Instagram
Banco Nacional,Excelente servicio al cliente Amet voluptates iure tempore aspernatur ratione neque.,1,2023-01-23,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Illo odit vitae excepturi neque laborum.,0,2023-01-23,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Omnis nulla neque.,0,2023-01-23,Twitter
Banco Nacional,Excelente servicio al cliente Iste est dolorem cumque earum.,1,2023-01-24,Twitter
Banco BCR,La aplicación móvil es fácil de usar Veritatis magni suscipit magni.,1,2023-01-24,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Impedit nesciunt non doloremque aliquam.,1,2023-01-24,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Architecto eos sit.,0,2023-01-25,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Magnam laboriosam ullam eum modi.,0,2023-01-25,Facebook
Banco Nacional,El proceso de solicitud de préstamo fue rápido Dicta nulla autem consequuntur.,1,2023-01-25,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Hic rerum quibusdam voluptates ad vitae eos quasi.,0,2023-01-26,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Tempore minima doloribus maxime.,0,2023-01-26,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Cupiditate culpa enim officiis impedit doloribus voluptatibus.,0,2023-01-26,Facebook
Banco Popular,El proceso de solicitud de préstamo fue rápido Dolor numquam neque enim harum distinctio nemo.,1,2023-01-27,Facebook
Banco Popular,La aplicación móvil es fácil de usar Veritatis recusandae et enim.,1,2023-01-27,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Placeat dolorum cumque maxime tempora cumque.,1,2023-01-27,Facebook
Banco Popular,Excelente servicio al cliente Occaecati eligendi illum magni.,1,2023-01-28,Twitter
Banco Nacional,Excelente servicio al cliente Aspernatur delectus doloribus excepturi incidunt dolorum blanditiis.,1,2023-01-28,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Ratione adipisci quam quia excepturi dignissimos eligendi.,0,2023-01-28,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Deserunt cum velit iusto accusamus commodi quas.,0,2023-01-29,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Nisi praesentium ipsam similique earum.,0,2023-01-29,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Harum autem quas nemo nam.,0,2023-01-29,Twitter
Banco Nacional,Excelente servicio al cliente Possimus commodi accusamus laborum totam corrupti repellendus.,1,2023-01-30,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Libero laboriosam natus at.,0,2023-01-30,Twitter
Banco BCR,La aplicación móvil es fácil de usar Perspiciatis minima consectetur sunt impedit.,1,2023-01-30,Twitter
Banco BCR,La aplicación móvil es fácil de usar Suscipit esse temporibus a iste voluptatem culpa.,1,2023-01-31,Twitter
Banco BCR,La aplicación móvil es fácil de usar Soluta ducimus occaecati temporibus.,1,2023-01-31,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Dicta officiis assumenda culpa.,0,2023-01-31,Twitter
Banco BCR,La aplicación móvil es fácil de usar Neque tempore sequi nihil eaque omnis.,1,2023-02-01,Twitter
Banco Popular,Excelente servicio al cliente Saepe quae repudiandae repudiandae inventore.,1,2023-02-01,Facebook
Banco Popular,La aplicación móvil es fácil de usar Ipsa culpa libero error fugit tempora.,1,2023-02-01,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Tenetur veniam maiores tenetur explicabo quis.,0,2023-02-02,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Eos iure ad architecto.,0,2023-02-02,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Omnis voluptate quis cupiditate repudiandae.,0,2023-02-02,Facebook
Banco Nacional,El proceso de solicitud de préstamo fue rápido Ipsum voluptatem sed eum placeat vitae optio a.,1,2023-02-03,Twitter
Banco Popular,La aplicación móvil es fácil de usar Quo corrupti id consequuntur veritatis placeat.,1,2023-02-03,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Deserunt quas nemo nostrum velit quasi odio a.,0,2023-02-03,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Voluptatum ullam aut architecto fuga suscipit repellat.,0,2023-02-04,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Molestias accusamus amet inventore asperiores consectetur sint.,0,2023-02-04,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Dolore corrupti enim architecto quas voluptatibus tenetur.,0,2023-02-04,Instagram
Banco Nacional,La aplicación móvil es fácil de usar Enim voluptatibus neque alias repellat quisquam.,1,2023-02-05,Instagram
Banco BCR,La aplicación móvil es fácil de usar Quos maxime saepe ut.,1,2023-02-05,Twitter
Banco Popular,Excelente servicio al cliente Vitae aspernatur ea laboriosam eius modi.,1,2023-02-05,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Optio odit laudantium omnis laboriosam eligendi.,1,2023-02-06,Facebook
Banco Popular,La aplicación móvil es fácil de usar Magni magni dolor ratione praesentium voluptas.,1,2023-02-06,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Amet numquam quidem nihil ex totam.,0,2023-02-06,Facebook
Banco Popular,El proceso de solicitud de préstamo fue rápido Vitae facere quos illum explicabo doloribus.,1,2023-02-07,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Molestiae ipsum occaecati hic perferendis totam.,0,2023-02-07,Instagram
Banco Nacional,La aplicación móvil es fácil de usar Aliquam esse aliquam.,1,2023-02-07,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Amet fugiat odit perferendis culpa velit.,0,2023-02-08,Instagram
Banco BCR,La aplicación móvil es fácil de usar Labore assumenda quis hic.,1,2023-02-08,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Odio dicta nostrum reiciendis laboriosam quas.,1,2023-02-08,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Earum aliquid iste nemo.,0,2023-02-09,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Voluptatibus animi exercitationem assumenda maxime sint.,0,2023-02-09,Instagram
Banco Popular,La aplicación móvil es fácil de usar Ea placeat animi quos omnis laborum consequatur autem.,1,2023-02-09,Twitter
Banco BCR,La aplicación móvil es fácil de usar Unde animi totam magni repellat.,1,2023-02-10,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Vero assumenda ipsam libero illo.,0,2023-02-10,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Ratione amet porro dignissimos vero harum distinctio.,0,2023-02-10,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Explicabo repellat voluptates voluptatem aliquam amet odio.,0,2023-02-11,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Architecto ratione maxime animi possimus.,1,2023-02-11,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Perspiciatis molestias eligendi possimus veritatis magnam.,0,2023-02-11,Facebook
Banco Popular,Excelente servicio al cliente Ex pariatur recusandae perspiciatis.,1,2023-02-12,Instagram
Banco Nacional,Tengo problemas para acceder a mi cuenta Architecto repudiandae natus sunt voluptatum ipsam illum tempora.,0,2023-02-12,Twitter
Banco Nacional,Los cargos de la cuenta son demasiado altos Animi veniam aut atque numquam aliquam.,0,2023-02-12,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Natus nam deleniti qui nam doloremque.,0,2023-02-13,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Eius facilis maxime deserunt.,1,2023-02-13,Instagram
Banco Nacional,Excelente servicio al cliente A doloribus assumenda velit voluptatum.,1,2023-02-13,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Asperiores facere nihil nesciunt veritatis.,1,2023-02-14,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Earum quia rem sequi impedit nam quia aliquam.,0,2023-02-14,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Laudantium soluta maiores accusantium sit odio cupiditate.,0,2023-02-14,Twitter
Banco BCR,Excelente servicio al cliente Ut ipsum quo laudantium debitis.,1,2023-02-15,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Suscipit quas itaque repellat.,0,2023-02-15,Instagram
Banco BCR,La aplicación móvil es fácil de usar Illum facilis quia hic.,1,2023-02-15,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Harum ab consequatur.,1,2023-02-16,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Doloribus inventore odio aliquid necessitatibus natus libero quos.,1,2023-02-16,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Iste numquam quos optio soluta sint.,0,2023-02-16,Twitter
Banco BCR,Excelente servicio al cliente Soluta error modi mollitia.,1,2023-02-17,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Doloribus tempore cum officia.,0,2023-02-17,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Qui occaecati nam totam ex ipsa deleniti.,0,2023-02-17,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Unde magnam voluptates est pariatur quaerat.,1,2023-02-18,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Exercitationem suscipit nesciunt porro.,0,2023-02-18,Facebook
Banco BCR,Excelente servicio al cliente Rem optio dolores dicta assumenda iste.,1,2023-02-18,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Sapiente nemo impedit.,0,2023-02-19,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Tempora officia expedita alias.,0,2023-02-19,Instagram
Banco Nacional,La aplicación móvil es fácil de usar Tenetur dolores velit laboriosam ut nobis.,1,2023-02-19,Instagram
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Adipisci enim sed rem repellat optio maxime.,0,2023-02-20,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Quisquam officiis eveniet impedit asperiores voluptates.,1,2023-02-20,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Modi ab nobis unde.,0,2023-02-20,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Quas iure fugiat mollitia nisi.,0,2023-02-21,Facebook
Banco Nacional,La aplicación móvil es fácil de usar Eius saepe dolor quis sequi.,1,2023-02-21,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Expedita dolorem culpa illo odio neque nam.,0,2023-02-21,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Temporibus perferendis sapiente distinctio necessitatibus quisquam nostrum incidunt.,0,2023-02-22,Twitter
Banco Nacional,El proceso de solicitud de préstamo fue rápido Deserunt quam veritatis adipisci ipsum totam maxime.,1,2023-02-22,Facebook
Banco Nacional,El proceso de solicitud de préstamo fue rápido Porro modi magni incidunt.,1,2023-02-22,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Perspiciatis quasi id quae occaecati quidem eos.,0,2023-02-23,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Distinctio ut dolorem quaerat.,1,2023-02-23,Facebook
Banco BCR,La aplicación móvil es fácil de usar Cum ipsa temporibus iste.,1,2023-02-23,Twitter
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Ab distinctio fugit error.,0,2023-02-24,Facebook
Banco BCR,La aplicación móvil es fácil de usar Quas illo voluptates recusandae blanditiis explicabo nesciunt explicabo.,1,2023-02-24,Facebook
Banco Nacional,Los tiempos de espera en atención al cliente son inaceptables Perspiciatis vitae dolor nobis.,0,2023-02-24,Facebook
Banco Popular,La aplicación móvil es fácil de usar Rem sit quasi.,1,2023-02-25,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Alias voluptatum nesciunt nemo autem atque cum.,0,2023-02-25,Instagram
Banco Nacional,Excelente servicio al cliente Tempore ullam placeat id quis vero.,1,2023-02-25,Facebook
Banco BCR,La aplicación móvil es fácil de usar Voluptatum eos fuga voluptas est expedita mollitia amet.,1,2023-02-26,Instagram
Banco BCR,Excelente servicio al cliente Rerum molestiae iusto neque.,1,2023-02-26,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Asperiores ex provident dolore est.,0,2023-02-26,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Eius officia ipsam dolorum.,0,2023-02-27,Instagram
Banco Nacional,Los cargos de la cuenta son demasiado altos Consequuntur vitae alias iusto ex assumenda.,0,2023-02-27,Facebook
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Sapiente veritatis aperiam accusamus ipsa quam nihil culpa.,0,2023-02-27,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Sapiente soluta error doloribus explicabo occaecati.,0,2023-02-28,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Tempore maxime quasi fuga iusto qui quis.,0,2023-02-28,Facebook
Banco Nacional,Excelente servicio al cliente Amet exercitationem natus sint sit perspiciatis accusantium.,1,2023-02-28,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Quos incidunt recusandae quisquam debitis modi exercitationem inventore.,0,2023-03-01,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Modi deleniti vero tenetur laborum amet.,0,2023-03-01,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Nisi molestiae blanditiis inventore aut beatae.,0,2023-03-01,Twitter
Banco Nacional,Los cargos de la cuenta son demasiado altos Esse deserunt omnis officia quas.,0,2023-03-02,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Impedit ipsum illum praesentium veritatis animi.,0,2023-03-02,Twitter
Banco BCR,Los cargos de la cuenta son demasiado altos Dignissimos magnam error tempore accusantium earum delectus.,0,2023-03-02,Twitter
Banco BCR,Excelente servicio al cliente Molestias saepe ut.,1,2023-03-03,Twitter
Banco BCR,La aplicación móvil es fácil de usar Illum ea a sed qui blanditiis exercitationem.,1,2023-03-03,Facebook
Banco Nacional,Excelente servicio al cliente Nam quidem praesentium sunt in quae.,1,2023-03-03,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Perferendis recusandae deserunt quia.,0,2023-03-04,Instagram
Banco BCR,Tengo problemas para acceder a mi cuenta Sequi ipsam esse nam facilis.,0,2023-03-04,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Incidunt sint sunt asperiores similique vitae dolores.,0,2023-03-04,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Nostrum corrupti corrupti.,0,2023-03-05,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Ipsum nemo consequuntur perferendis.,1,2023-03-05,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Ab voluptates optio ab molestiae ducimus provident maxime.,0,2023-03-05,Instagram
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Aliquid id accusantium rem ea rem nisi.,0,2023-03-06,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Dolor ea recusandae libero.,0,2023-03-06,Instagram
Banco Popular,La aplicación móvil es fácil de usar Illo voluptas magnam ipsam ullam.,1,2023-03-06,Twitter
Banco Popular,Los cargos de la cuenta son demasiado altos Animi ut ipsum repellat ipsum.,0,2023-03-07,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Ducimus quo dolore temporibus amet perspiciatis molestiae.,0,2023-03-07,Facebook
Banco Nacional,Excelente servicio al cliente Ducimus eaque saepe error consequatur voluptatem.,1,2023-03-07,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Qui esse ea deserunt delectus.,1,2023-03-08,Twitter
Banco Popular,La aplicación móvil es fácil de usar Id laboriosam voluptates ipsum ea reprehenderit.,1,2023-03-08,Facebook
Banco BCR,Los cargos de la cuenta son demasiado altos Necessitatibus quia fuga.,0,2023-03-08,Facebook
Banco Nacional,El proceso de solicitud de préstamo fue rápido Saepe accusantium doloribus dolores odit unde voluptates ut.,1,2023-03-09,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Placeat rerum quam voluptas ullam tempore nobis libero.,1,2023-03-09,Instagram
Banco BCR,Tengo problemas para acceder a mi cuenta Ad sapiente fugit dolorem.,0,2023-03-09,Twitter
Banco BCR,El proceso de solicitud de préstamo fue rápido Ratione voluptatum eaque expedita corporis.,1,2023-03-10,Instagram
Banco Popular,Tengo problemas para acceder a mi cuenta Aspernatur ut qui odio sit.,0,2023-03-10,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Consectetur tenetur at ad dolor tenetur esse error.,0,2023-03-10,Instagram
Banco Nacional,Excelente servicio al cliente Eligendi ipsum vel fuga quia.,1,2023-03-11,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Tempore molestias voluptas hic voluptatem animi numquam.,0,2023-03-11,Instagram
Banco BCR,El proceso de solicitud de préstamo fue rápido Dolore sint ullam tempora iusto unde itaque.,1,2023-03-11,Facebook
Banco BCR,Tengo problemas para acceder a mi cuenta Necessitatibus recusandae vero cumque.,0,2023-03-12,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Quo rem nihil adipisci eos alias quod.,0,2023-03-12,Facebook
Banco Popular,Tengo problemas para acceder a mi cuenta Voluptates dicta reprehenderit.,0,2023-03-12,Instagram
Banco Popular,El proceso de solicitud de préstamo fue rápido Iusto a illum delectus reprehenderit consequatur.,1,2023-03-13,Twitter
Banco Popular,El proceso de solicitud de préstamo fue rápido Inventore repellat accusamus exercitationem magnam.,1,2023-03-13,Twitter
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Quae fugit modi sunt laborum mollitia.,0,2023-03-13,Twitter
Banco Nacional,Tengo problemas para acceder a mi cuenta Quos fugiat deleniti maxime ipsam commodi.,0,2023-03-14,Instagram
Banco Popular,Los cargos de la cuenta son demasiado altos Quam amet provident voluptatum illo.,0,2023-03-14,Twitter
Banco Popular,La aplicación móvil es fácil de usar Asperiores itaque animi placeat quae.,1,2023-03-14,Facebook
Banco Popular,La aplicación móvil es fácil de usar Aut consectetur exercitationem sunt corporis.,1,2023-03-15,Twitter
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Totam corporis molestiae soluta ad.,0,2023-03-15,Facebook
Banco Popular,Los cargos de la cuenta son demasiado altos Nesciunt quae ipsa consequatur doloremque.,0,2023-03-15,Twitter
Banco Popular,Tengo problemas para acceder a mi cuenta Reiciendis quas eveniet sapiente id aliquam.,0,2023-03-16,Facebook
Banco Nacional,Los cargos de la cuenta son demasiado altos Placeat porro voluptate quis sequi possimus fugiat.,0,2023-03-16,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Vero in sunt iure quidem incidunt.,1,2023-03-16,Facebook
Banco BCR,El proceso de solicitud de préstamo fue rápido Vitae asperiores maxime impedit eum.,1,2023-03-17,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Vel alias consequuntur alias.,0,2023-03-17,Facebook
Banco BCR,Los tiempos de espera en atención al cliente son inaceptables Numquam quod est natus officia quod.,0,2023-03-17,Instagram
Banco BCR,Los cargos de la cuenta son demasiado altos Veniam temporibus occaecati minus.,0,2023-03-18,Instagram
Banco Popular,La aplicación móvil es fácil de usar Numquam cum molestiae eveniet dolores doloribus sint.,1,2023-03-18,Instagram
Banco Popular,Los tiempos de espera en atención al cliente son inaceptables Quaerat ipsum laboriosam ex.,0,2023-03-18,Instagram
Banco Nacional,El proceso de solicitud de préstamo fue rápido Animi reprehenderit enim placeat.,1,2023-03-19,Facebook
Banco Popular,La aplicación móvil es fácil de usar Laborum cum architecto necessitatibus ab.,1,2023-03-19,Instagram
Banco Popular,La aplicación móvil es fácil de usar Sequi cumque sint rem deleniti deserunt.,1,2023-03-19,Facebook
Banco Nacional,Excelente servicio al cliente Quaerat laudantium reiciendis eos adipisci.,1,2023-03-20,Facebook
Banco Nacional,Tengo problemas para acceder a mi cuenta Consequuntur quod quasi.,0,2023-03-20,Twitter
Banco Nacional,La aplicación móvil es fácil de usar Dicta exercitationem atque dolore soluta.,1,2023-03-20,Instagram
